순번,질문,답변
‘사람이 죽으면 먼저 가 있던 반려동물이 마중 나온다’는 얘기가 있지요. 무지개다리 너머에서 즐겁게 놀고 있다가 다시 만나게 되겠지요. 우리도 그때까지 가끔은 슬프고 그립겠지만, 급하게 잊지 않아도 되니 천천히 떠나보낸 슬픔을 다스려 나가시길 바랍니다."
51,"적극적으로 죽고 싶지는 않은데 살고 싶은 마음도 없어요. ? 더 안 살아도 괜찮을 것 같고, 살 의미도 모르겠어요. ? 그냥 왜 살아야 하는지 잘 모르겠어요. ","""적극적으로 죽음을 갈망하지는 않지만 죽음을 피하려고 노력하고 싶지 않을 정도로 삶의 의미를 모르겠다는 말씀인 것 같습니다. 삶의 의미는 주어지는 것이 아니라 내가 찾아야 알 수 있는 것입니다. ?아기나 어린이는 삶과 죽음의 의미를 잘 이해하지 못합니다. 말을 배우고 상징을 이해하기 시작하면서 조금씩 이해를 넓혀가지요. 유치원생 정도면 죽음을 ‘나이가 들어 사라지는 것’ 정도로 어렴풋이 생각합니다. 10살 정도 되어야 성인과 비슷하게 죽음의 비가역성과 슬픔을 이해하게 됩니다. ?삶의 의미에 대해 생각하는 것은 청소년기에 시작하지만 (나중에 변하더라도) 스스로 만족하는 의미를 찾는 나이는 사람마다 매우 다를 것입니다. 특히나 복잡해진 현대 사회에선 체력만 되면 완성된 어른 대접을 받았던 농경사회보다 더 오랜 시간이 걸릴 것입니다. ?
인간보다 지능이 낮은 동물들은 어떨까요? 쥐를 물속에 넣고 수영을 해도 물 밖으로 나오지 못하게 하면 힘이 남은 상태에서도 수영을 포기하는 경우가 생깁니다. 만약 중간에 꺼내주어 희망이 있다고 여기면 죽기 전까지 더 오래 수영을 한다고 합니다. 즉, 내가 어찌할 수 없고 (helpless), 희망이 없으면(hopeless) 역경을 극복하는 노력을 조기에 포기하기도 합니다. 무리를 짓는 동물은 음식이 부족하고 자신이 늙고 병들어 무리에 도움이 되지 않으면 혼자 떠돌다 죽기도 합니다. 원숭이 정도는 돼야 새끼를 잃은 슬픔과 외부 사건에 의한 스트레스가 심할 때 먹이를 먹지 않고 스스로 죽음을 택하는 것이 가능하다고 합니다. 보통은 새끼를 잃고 슬퍼하지만, 시간이 지나 회복을 하는 편이지만요.
인간과 동물의 경우를 보면 반복적 고통, 먹이의 부족, 외부 사건이 동반된 새끼의 죽음 정도가 아니면 ‘삶의 의미’를 생각하는 것은 청소년기 이후의 인간에게서만 가능한 것 같습니다.
오늘만 편하면 잘 살아가는 동물과 달리 인간은 과거와 미래를 생각하게 되었습니다. 이처럼 고등 지능을 갖게 된 인간은 ‘삶의 의미’라는 것을 생각하게 됩니다. 생명 유지 이상의 것을 고민하게 된 것이죠. 이로 인해 부대원을 살리기 위해 수류탄을 몸으로 덮는 행동이 가능해졌을 것입니다. 단순한 생존 이상의 것을 더 소중하게 여기게 되었으니까요. ? 미래에 무슨 일을 하며, 어떤 사람들과 가치를 느끼며 살아갈 수 있을까? 가능하기는 할까? 먼 미래만 생각하다 보면 정작 ‘삶의 의미’를 찾을 수 있는 현재를 놓치게 되기도 합니다.
크고 작은 일을 시도해보며 내가 추구하는 가치를 찾아야 합니다. 어쩌면 안빈낙도의 삶이 윤이 님께 만족감을 줄 수도 있습니다. 최선을 다해야 후회가 없는 사람도 있습니다. 인생이 흘러가며 가치가 변하기도 합니다.
이 과정을 통해 생존이 아닌 ‘삶의 의미’를 조금씩 찾아갈 수 있게 됩니다. 함께 하는 사람도 중요합니다. 무리를 짓는 동물이 혼자 외롭게 된다거나 반대로 너무 많은 개체가 좁은 공간에 있으면 스트레스를 받습니다. 말로 소통을 하는 인간은 더 크게 느낄 것입니다. ? 이런 과정들을 통해 ‘삶의 의미’가 완전하지 않더라도 ‘계속 탐색해볼 수 있겠구나’라는 생각이 들면 ‘왜 살아야 하는가’에 대한 답이 될 것입니다. 어쩌면 윤이 님께 흥미, 즐거움, 편안함, 따뜻함 등 ‘잃기 싫은 것’이 너무 부족해져서 그런 것은 아닐까요? 현재 부족하더라도 “내 행동으로 인해 변화가 생길 수도 있잖아”라고 생각할수록 도움이 될 것입니다. ?
‘왜 살아야 하는지 모르겠다’는 판단이 “무엇을 시도해도 나아질 가능성이 없다”는 확실한 근거에 의한 것인지 생각해보시면 좋겠습니다. 무언가 시작해볼 수도, 누군가와 즐거운 시간을 가져보려고 시도해볼 수도 있다면, 상담과 약물치료도 ‘시도’의 하나로 생각해볼 ?수 있겠습니다."""
52,갑작스럽게 가족이 죽었습니다. 그런데 별로 슬프지가 ? 않아요. 이렇게 슬프지 않은 제가 정상인가요?,"안녕하세요 윤이 님? 갑작스럽게 가족의 죽음을 맞닥트려 당황스럽기도 하실 것 같습니다. 죽음과 이별 대부분의 감정이 슬픔, 그리움, 아쉬움 등등이지만 종종 전혀 다른 감정을 맞이할 때도 있습니다. 윤이 님에게 어떤 일들이 있었는지, 고인이 된 가족과 어떠한 관계였는지는 알 수 없지만 슬프지 않은 데에는 이유가 있겠지요._x000D_
?당장은 장례를 먼저 치러야 한다는 책임감과 남은 할 일들이 있어 슬픔을 느낄 새가 없었을 수도 있습니다. 가족의 오랜 병환에 지쳐서, 생전 가족들을 너무 힘들게 만들었거나 윤이 님 혹은 가까운 사람들에게 큰 상처를 준 사람이었다면, 아니면 그 외 다른 이유로 가족의 죽음이 다르게 다가올 수도 있습니다. 후련하다고 느끼거나 이제 끝났다는 안도감과 해방감을 느낄 수도 있고, 그다지 슬프지 않아서 눈물이 흐르지 않을 수도 있습니다. ?_x000D_
슬픔의 크기는 사람마다 다르고, 슬픔의 형태도 다르지요. 슬픔의 시기가 다를 수도 있습니다. 지금은 모종의 이유로 슬프지 않을 수도 있지만 오랜 시간이 지난 뒤 문득 그립거나 슬퍼질 수도 있습니다. 그 시기를 누가 알까요? 흘러가는 대로, 윤이 님에게 느껴지는 대로 마주해보시기 바랍니다. 윤이 님께서 타인의 시선이나 자신이 세워 둔 틀로 인해 괴롭지 않으셨으면 좋겠습니다. 그리고 심심한 위로의 마음을 전해드립니다."
53,"죽은 엄마가 원망스러워요. 돌아가시고 나니 원망을? 얘기할 수도 없고, 그렇다고 용서가 되지도 않아요. ? 나한테 왜 그랬을까 생각나고, 어떤 날은 그래도 엄만데? 내가 잘못하고 있나 죄책감도 들고 복잡합니다.","안녕하세요 윤이 님. 짧은 글이나마 담겨있는 복잡하고 막막한 감정들이 느껴집니다. 아마도 어머니와 못다 나눈 이야기들이 남으셨나 봅니다. 어떤 이야기들이 어머니와 윤이 님 사이에 있었는지는 알지 못하지만, 그때 어머니가 나에게 왜 그랬을까 원망스러워 밉고 싫은 마음이 들고, 어쩌면 그땐 미처 표현하지 못했던 마음을 지금이라도 말해보고 따지고 소리도 질러보고 싶으실 것 같습니다. 이런 마음의 한편으론 살아계셨으면 싸우기라도 하고 변명이라도 들을 텐데.. 하는 아쉬움과 답답함이 있으실 것 같습니다. 그러나 현실로 돌아오면 상대할 수 없는 대상이 되었기 때문에 아직 남은 윤이 님의 감정이 갈 길을 잃어 무력함을 느낄 수도 있고, 그런 대상을 아직 미워한다는 죄책감과 불편함이 있으실 것입니다. 이런 복잡한 마음이 얼마나 무거우실까요.._x000D_
나를 낳아주고 생존시켜준 존재이며 나의 엄마라는 사실과 동시에, 나에게 상처를 입히고 사라진 존재라는 사실은 너무나 상반되는 마음을 우리에게 줍니다. 이를 “양가감정”이라고 하는데, 모든 사람이 가지고 있지만 가지길 부담스러워합니다. 왜냐하면 우리는 가족을 미워하면 안 되는 존재라고 생각하는데, 살다 보면 밉기도, 싫기도 하고, 공격성마저 불러일으키는 존재가 되어 “미워하면 안 된다”는 금기를 위협하기 때문이죠. ?_x000D_
모든 존재가 나에게 이로울 수만은 없습니다. 받아들이기 쉽지 않지만 살다 보니 소중한 존재에게서 받는 상처도 경험하게 되고, 심지어 가족, 연인 등 신뢰의 대상이기도 하죠. 어머니가 윤이 님께 충분한 애착을 주지 못했거나 안전한 기지가 되어주지 못했을 수도 있습니다. 양육방식에서의 압력으로 자유가 제한되었거나, 힘의 차이로 주눅 들게 만들었을 수도 있습니다. 어떤 이유든 상처받은 윤이 님의 마음은 지금-현재에 있는 것이죠. ? 복잡한 마음을 가만히 들여다보고 거부하지 말고 ‘느낄 수 있음 직한 마음’이라 인정하며? 바라봐주세요. 용서가 늦어져도 되고, 미움이 길어져도 됩니다. 다만 윤이 님이 보다 나은? 현재를 누리기 위해서는 자신의 감정을 부인하지 않는 것이 중요합니다. 윤이 님의 마음을 글로 정리해보시면 정리하는 데 도움이 될 것입니다. ▼ 아래처럼요 ▼?_x000D_
“엄마한테 받은 상처가 크지. 그렇다고 매번 미웠던 건 아니지만. 가족여행 갔을 때나, 소풍 가는 날 아침 일찍 일어나 싸준 김밥도 맛있었고, 좋았던 기억들도 있지. 그래서 마냥 화를 낼 수도 없었고, 무섭기도 했었고..  그래서 지금 더 답답하고 괴로운 것 같다. 남들처럼 좋기만 한 엄마였으면 좋았을 텐데 이미 돌아가신 분을 계속 미워하기도 마음이 힘들고.. 그래도 당분간은 조금만 더 미워하고 싶어. 내 마음이 아직은.. 아직은 힘들고 아프니까 용서가 쉽지 않아. ”"
54,"3년 연애했던 연인이 다른 사람과 걸쳐서 환승이별을? 당했어요. 결혼하자는 얘기도 해왔고 진지하게 만났었는데, 어떻게 이럴 수 있을까요? 충격적이에요. ?","얼마나 큰 충격이고 마음이 아팠을지, 어려운 고민을 나누어 주셔서 고맙습니다. 말씀하신 것처럼 모든 사람이 만나고 헤어지는 일을 겪지만, 나에게 일어난다면 그 특별함이 더 크게 와닿지요. 특히나 3년이라는 기간 동안 믿음을 쌓은 사람이 갑자기 돌아서는 일을 과연 누가 담담한 마음으로 받아들일 수 있을까요. ?
이별은 어렵고 고통스럽습니다. 감정뿐 아니라 부교감신경계에 영향을 미쳐 실제 통증을 느끼게 한다는 연구도 있지요. 특히 환승이별은 일반적 형태의 이별보다 더 크고 다양한 감정을 경험하게 했을 것입니다. 상실감이나 배신감 외에도 상대의 선택에 의해 자신의 잘못이 아님에도 이별을 받아들여야 하는 상황에서 아직 나의 감정은 상대를 향하고 있음에 혼란스러울 수도 있습니다. 또한 관계 회복에 대한 기대를 하기도 어렵고, 관계 전반에 대한 불신을 갖게 될 수도 있습니다.
어떤 사람들은 감정을 해결하고 상황을 이해하기 위해 이유나 원인을 찾고, 앞으로 같은 일이 일어나 상처받지 않기 위해 무엇을 해야 하는 지에 집착하게 됩니다. 좋았던 추억들을 어떻게 기억해야 할지에 대한 혼란도 여전할 것이고, 혹시나 하는 마음에 SNS를 찾아보며 나와 달리 행복해 보이는 상대에 대해 또다시 상처를 받고, 억울하고 힘든 마음을 달래지 못해 일상이 유지되지 않고 우울감에 빠지는 등 여러 어려움이 발생하기도 합니다.
갑작스러운 큰 고통에 힘든 시간을 보내고 계실 윤이 님이 걱정됩니다. 어느 때이든 윤이 님은 소중한 존재이며, 존중받아 마땅한 사람임을 잊지 마시고, 상대의 행동이 나의 가치를 흔들지 않도록 자신의 마음을 정돈하고 건강하게 돌볼 수 있길 바랍니다.
1. 이별했다는 사실과 이로 인해 힘든 자신을 받아들이고 인정해주세요. ?
이별로 인한 감정을 충분히 해소하고 진정시키는 시간이 필요합니다. 이별 후의 슬픈 감정은 자연스러운 것이지만, 부정적인 생각이 또 다른 부정적 생각을 이끌어 과하게 슬퍼하고 더 많이 괴로워하기 쉽습니다. 상대나 자신을 비난하고, 이별의 순간을 곱씹으며 반복된 생각과 감정의 고리에 빠지지 않도록 감정을 해소하고, 부정적 생각을 반복하지 않도록 도와주세요. 반복된 생각을 속으로 곱씹지 않도록 공책에 생각을 적어두고, 감정을 충분히 표현하고 감정을 해소할 만한 즐겁고, 안정적인 일들을 해보세요.
2. 상황을 객관적으로 돌아보고 그동안의 연애가 어땠는지, 내가 가진 연애관은 어떤지, 관계가 끝난 이유를 생각해보고, 이별을 받아들일 수 있게 도와주세요.
현재 상황에서 윤이 님이 원하는 것이 무엇인지, 그동안의 관계에서 내가 이 연애를 어떻게 여겨왔는지, 이러한 상황이 벌어지기까지의 과정이 어떠했는지 돌아보세요. 연애와 이별에서 상대의 책임과 나의 책임을 나누어보고, 확실히 연애 관계가 끝났다면 이를 인정하는 시간을 가져주세요.
3. 현재의 일상을 살아가며 혼자서도 잘 지낼 수 있는 나의 모습을 찾아주세요. ?
상대의 흔적을 정리하고, 상대의 소식이나 SNS를 찾아보지 않도록 하세요. 오랫동안 공유한 만큼 빈자리가 클 것입니다. 익숙하지 않은 면이 있겠지만 혼자의 일상을 보내고, 하고 싶었던 일을 하며 자신의 감정과 만족을 채워 가보세요.
추운 겨울을 지나며 소중한 당신이 마음의 상처를 회복하고 행복하게 지내시길 바랍니다."""
55,대학원 2년 차 입니다. 교수님께서 이직하신다는 소식을? 갑자기 들어 어쩔 줄 모르겠습니다. 아직 다른 말씀은  ? 없으시고 저는 여기 남아서 졸업할 생각인데.. 앞으로? 어떻게 하면 좋을까요?,"윤이 님의 마음을 정말 많이 공감합니다. 저도 그런 경험이 있었고 그 얘기를 들을 당시 교수님에 대한 서운함이나 앞으로의 미래에 대한 걱정으로 마음이 아주 힘들었던 게 생각나네요._x000D_
?새로운 지도교수님을 찾았나요? 여러 가지를 고려해서 새로운 교수님과 연락하기도 쉽지 않은 문제더라고요. 게다가 새로운 교수님을 만나도 이미 친하게 지내고 있는 사람들 사이에서 새롭게 적응하는 것도 그렇고요. 또 연구 주제도 교수님이 바뀌면서 조금씩 달라지기도 하고요. 내 미래와 관련된 일이다 보니 정말 고민할 일이 많을 거 같아요. 마냥 충격적인 마음만 안고 가만히 있을 수 있는 것도 아니고, 여러 선택을 하느라 마음이 급했을 것도 같아요. 지금 일이 손에 잡히지 않는 건 이런 복잡한 내 마음들이 정리되지 않아서가 아닐까요? ?_x000D_
정리하기까지 시간이 조금 필요할 것입니다. 걱정스러운 미래도 앞으로 적응해야 할 것들도 해야 할 일들도 차분히 정리하고, 그것들이 정리된 후에는 이제 내 마음을 다독여 줄 시간을 가져보세요. 놀라진 않았는지, 교수님에 대한 마음은 어떤지, 지금 내 불안함은 어떻게 느껴지고 있는지 등등 혼자 생각하다 힘들면 친구들이랑 실컷 얘기해서 풀어보세요~! ?_x000D_
필요하다면 교수님 욕도 실컷 하세요~! 그래야 조금 마음이 풀리면서 교수님과 정리해야 할 일들이나 받아야 할 것들을 편한 마음으로 말씀드릴 수 있더라고요.?_x000D_
새로운 교수님과 새로운 시작을 응원합니다!"
56,"건강을 늘 자신했었습니다만 최근 받은 건강검진에서 ? 정밀검사를 해보라는 통보를 받았고, 검사를 해보니까? 면역 관련 질환으로 평생 관리해야 한다고 합니다. ? 큰 병은 아니지만, 일상에서 할 수 있는 것들이 많이 줄어? 들었고 제가 병을 가졌다니 뭔가 기분도 이상해요.","건강검진은 받을 때마다 ‘별일 없을 거야!’라고 생각하지만 ‘혹시나….’ 하는 떨리는 마음은 어쩔 수 없는 것 같습니다. 그러다 어떤 병명이라도 내 앞에 떨어지면 더없이 당황스럽기도 할 테고, 크든 작든 놀랄 수밖에 없겠지요. 윤이 님도 면역 관련 질환이라는 진단을 받으시고 게다가 평생 관리를 해야 한다는 소견도 들으셨으니 얼마나 놀라셨을까요.. ?_x000D_
요즘 윤이 님의 삶의 모습이 어떨지 궁금합니다. Holmes and Rahe의 스트레스 스케일에 따르면 건강상 변화는 직장에서 해고를 당하는 것보다도 충격이 큰 사건에 해당합니다. 자신했던 건강이기에 아무런 제약이 없었던 건강한 시절을 떠나보내야 한다는 슬픔과 허무감을 느끼는 것이 당연합니다. 이런 일이 자신에게 일어난 것에 대한 화나 건강을 더 챙기지 못한 데에 대한 자책도 있겠지요. 그리고 앞으로의 일상에 변화가 생길 수도 있다는 걱정으로 두렵기도 할 것입니다. 이 모든 마음이 드는 것은 당연한 일입니다. 평온한 일상에 장염으로 고통스러워도 하루가 무너지는데, 윤이 님께 일어난 일이 어찌 하루아침에 받아들이고 씩씩하게 마음을 다잡을 수 있겠어요. 당분간은 우리 좀 슬프기도 하고, 화나기도 하는 마음을 그대로 두고 가만히 토닥토닥 두드려주며 가라앉길 기다려보면 어떨까요? ?_x000D_
그리고서 조금 진정이 되면 가까운 사람들에게 이야기하며 충분한 공감도 받아보고, Here and Now에서 현재해야 할 일(병에 대한 이해, 꾸준한 치료 방법, 특별히 관리해야 할 것은 무엇인지 알기) 등에 집중해봅시다. 잘 관리해서 다시 평온한 일상을 누려봅시다. 이전과 조금은 다를 수도 있지만 ‘못하게 된 것’이 아니라 할 수 있는 것이 ‘조금 바뀐 것’이니까요."
57,잘 자고 잘 일어나는 법이 궁금해요. 어렸을 때부터 아침잠이 많았고 지금도 잠 때문에 지각 및 결석을 한 적이 있어요. 어떻게 하면 잘 일어날 수 있을까요? ,"우와.. 반갑습니다. 윤이님! 저도 잠이 많고 특히 아침에 깨기 너무 어려워서 자체 휴강도 종종 하고 지각도 많이 하고.. 매번 늦어서 아침마다 친구들이 저를 기다리게 했었던 기억이 납니다. 잘 일어나는 사람들은 “그건 의지의 문제야!!”라고 할 수도 있지만, 정말 정말 어렵다는 걸 우리는 알지요? 그런데 이렇게 되면 감내해야 하는 아쉬움도 생기고, 안 들어도 됐을 질책도 듣고, 스스로 자책하는 일들이 생기더라고요. 아마 윤이 님도 잘 일어나기 위해 여러 시도를 해보셨을 것 같아요. 추천해 드리는 방법들을 꼭! 실천해보시면 좋겠습니다._x000D_
1. 알람을 멀리 두기 or 일어나서 끌 수 있게 하기_x000D_
잠에서 깨려면 우선 누운 자리에서 일어나게 만들어야 합니다. 휴대폰을 멀리 둬보기도 했지만, 엉덩이가 붙어있는 한 크게 소용이 없더라고요. 그래서 제가 사용했던 앱은 거실에 있는 냉장고 사진을 찍어야 알람이 꺼지도록 설정이 가능했답니다. 다시 눕는 한이 있더라도 우선 일차적으로 잠자리에서 빠져나오는 효과는 두둑했어요._x000D_
2. 일어나서 빛을 쬐기_x000D_
암막 커튼이 드리워진 방은 시간 구분도 안 되어 더 일어나기 힘들답니다. 그러니 아침에 알람을 듣고 일어나게 되면 불을 밝히든 커튼을 열든 빛을 쬐시면 몸이 아침이 왔음을 알아차리게 됩니다._x000D_
3. 가장 중요한 것은 충분한 수면을 취하기_x000D_
매일 늦게 자면서 일찍 일어나는 부지런함을 바랄 수 없습니다. 윤이 님께 맞는 충분한 수면시간을 찾고 이를 지키기 위해 몇 시에 자야 할 지를 설정해보세요."
58,"낮과 밤이 바뀌었는데, 큰 불편함 없이 잘 지내고 있습니다. 혹시 건강상이나 이런저런 문제가 있을까요?","수면이 불규칙한 사람들이 많죠? 학업이나 업무로 인해 불규칙적일 수도 있고, 하루를 지내며 자신만의 시간을 보상받아야 한다는 마음에 밤늦게 이것저것 하다 보면 수면시간이 늦어지기도 하고요. 또 요즘처럼 비대면 수업이 늘면서 꼭 아침에 일어나지 않아도 되는 느슨함에 낮과 밤이 바뀌기도 합니다. 큰 불편함은 없으시다지만 신체 사이클에 맞게 수면을 취하는 것이 얼마나 중요한지에 대해 알아보겠습니다._x000D_
1. 잠을 자는 동안 우리 몸은 회복합니다. 피부미인은 잠도 잘 잔다고 합니다. 왜냐면 밤 10시부터 새벽 2시까지 우리 몸은 피부재생, 산화 방지 및 면역 강화에 도움이 되는 물질을 분비하여 세포나 DNA 손상을 예방하는 자가치유를 하기 때문입니다. 고로 밤낮이 바뀌면 깊이 잘 수 없어서 이런 치유가 제대로 이루어질 수 없게 됩니다._x000D_
2. 밤낮이 어긋나면 생기는 문제는 다음과 같습니다. 밤낮이 바뀐 수면은 우선 일상에 지장을 줍니다. 생산성을 높여야 하는 낮 동안 제대로 효율을 내지 못하게 됩니다. 또한, 불면증으로 연결되고 우울증, 비만, 당뇨병 등의 질환과도 상관이 높다는 것은 많이 알려져 있습니다. 게다가 몸이 회복을 제대로 하지 못하기 때문에 혈중 독성분 농도가 짙어지면서 간성뇌증의 원인이 되기도 한다는 연구도 있습니다. 간성뇌증의 증상으로는 건망증, 혼란, 감정변화 등이 있습니다._x000D_
대자연의 사이클을 잘 지켜 생활하는 것은 꽤 중요한 일입니다. 밤에 잘 자고 아침에 일어나 생활하며 건강한 계절 음식을 먹는 것. 오늘부터 다시 해보시겠습니까?"
59,“어제는 몇 번 깼어?” 아침마다 하는 질문입니다. 왜냐하면 배우자가 밤새 3~4번씩 깼다 잠들기를 반복하기 때문입니다. 수면클리닉 같은 센터를 가면 도움이 될까요?,"안녕하세요 윤이 님? 보내주신 질문에서 윤이 님의 걱정이 묻어나네요. 무엇보다 깊은 잠을 못 주무시고 힘들어하시는 것을 바라볼 수밖에 없어 마음이 무거우실 것 같습니다. 정확한 원인은 검사를 통해 알 수 있겠지만 수면 중 여러 차례 깨는 이유는 여러 가지가 있습니다._x000D_
1. 불면증_x000D_
불면증에는 3가지 종류가 있습니다. 입면 장애, 조기 각성 그리고 수면 유지 장애 인데요. 새벽에 이유 없이 잠에서 깨고 다시 잠들기 어려운 증상이 수개월째 반복되고 있다면 수면 유지 장애의 특징에 해당합니다._x000D_
2. 스트레스_x000D_
과도한 스트레스는 수면의 질에도 영향을 미칠 수 있습니다._x000D_
3. 수면장애_x000D_
코골이, 수면무호흡증, 하지불안증후군, 잠꼬대 등 다양한 수면장애는 깊은 수면을 방해하여 잠이 깨는 증상이 나타날 수 있습니다._x000D_
4. 기타 이유_x000D_
호르몬의 변화, 수면에 부정적인 약물, 노화 등의 이유 또한 수면 중 각성에 영향을 미칠 수 있습니다. 수면 환경 조성, 스트레스 완화, 산책, 운동 등 다양한 방법들을 활용하시되 전문 클리닉에 방문하셔서 검사를 통해 정확한 진단과 치료를 꼭 받으시기 바랍니다."
60,"매일 잠이 안 와서 맥주를 1캔씩 마셔요. 좋지는 않을 ? 것 같은데, 마셔야 잠을 잘 수 있을 것 같아서요.","윤이 님 안녕하세요? 수면 관련한 주제로 준비하면서 윤이 님과 같은 고민이 꼭 들어올 것으로 생각해봤습니다. 수면 전 알코올 섭취에 대해서는 Nightcap이라는 고유명사가 있을 만큼 널리 퍼져있는 흔한 일이긴 합니다. 외롭고, 고민이 많고 센치해서 홀짝홀짝 마시던 가벼운 음주가 습관이 되어서 매일 자기 전 음주를 하는 경우들이 많죠. 사실 음주로 인해 나른해지면서 잠드는 데에는 도움이 될 수 있습니다. 그러나 음주의 양이 아니라 음주 행위를 통제할 수 있느냐에 따라 알코올의존증을 가늠하기 때문에 윤이 님의 상태도 한 번 탐색해보시기 바랍니다. ?_x000D_
우선, 자기 전 술의 힘을 빌리는 것은 술에 대한 의존도를 높이기 쉬운 위험한 행동입니다. 취해서 잠드는 것을 반복하다 보면 어느 순간 취하지 않으면 잠을 잘 수 없게 되기 때문입니다. 또한, 알코올은 자는 동안 소변이 만들어지는 것을 막는 항이뇨 호르몬 작용을 방해해 수면 중 화장실을 가기 위해 잠을 깨는 등 수면의 질을 낮추기도 하고, 수면 중 체내 산소를 충분히 공급하지 못해 코골이가 생기기도 합니다. ?_x000D_
가장 좋은 방법은 잠자리에 들기 전 먹고 마시는 행위를 삼가 위장도 쉬게 하는 것입니다. ?하지만 당장 이행하기는 힘들다 느껴지신다면 음주의 양을 정하여 소량만 마시도록 하며, 수면 전보다는 저녁 식사에 반주로 살짝 드시거나 알코올의 흡수를 낮추기 위해 간단한 안주를 함께 드시길 추천해 드립니다. 또 음주로 보내는 시간을 대신하여 뜨개질, 독서, 만들기 등 다른 정적인 습관으로 시간을 대체하는 등 여러 가지 시도를 해보실 수 있겠습니다."
